id,portfolio,question_parts,question,reply,referred_reply,answered,givesRequestedFigure,addressesAllParts,declinesWithReason,evasionType,note
2025-22004,Minister of Corrections,1,What date did the Minister ask Corrections to look into the length of sentences and how effective those are and how they impact on rehabilitation?,11 November 2024.,,,,,,,
2024-78984,Associate Minister of Education,2,"Can the Minister confirm that the new contract(s) with suppliers for the reformed Ka Ora, Ka Ako programme contains a requirement that meals must meet the nutritional guidelines developed for the programme in 2022; if not, why not?","All contracts require compliance with nutritional guidance, any agreed minimum weight volumes and standard special dietary requirements, such as common allergens and ethical and cultural needs (dairy, vegetarian, vegan, halal), as advised by the Ministry of Education.

This is also my response to written parliamentary question 78985 (2024).",,,,,,,
2024-8871,Minister for Media and Communications,2,"Has the Minister communicated via cell phone, phone or online with any members of the board of TVNZ, and if so who, what time and what was the content of the discussion?",My diary is proactively released on the beehive.govt.nz website. I refer the Member to this.,,,,,,,
2024-72224,Minister for Tertiary Education and Skills,2,"Has the Minister been informed of any programmes to be cut at Weltec and Whitireia, if any, and if so what are these?",I refer the Member to my response to written parliamentary question 72217 (2024).,"I am aware that a number of Te Pūkenga’s institute of technology and polytechnic (ITP) business divisions are consulting on programme closures. These are operational matters and the responsibility of Te Pūkenga’s council, and I have not received any specific advice on particular proposals.

For completeness, I note that I have received information on potential programme closures across Te Pūkenga’s ITP business divisions as part of advice on the financial improvement work Te Pūkenga is undertaking with assistance from the specialist help it was required to engage by the Tertiary Education Commission under section 332 of the Education and Training Act 2020. This work remains ongoing and decisions about which of these programmes are retained or closed remain the responsibility of Te Pūkenga.",,,,,,
2024-180,Minister for Children,1,"What evidence, if any, has he seen that boot camps for young offenders are effective at reducing rates of youth offending?",I refer the Member to my answer to WPQ 179 (2024).,"Information on the evidence regarding the effectiveness of military academies was provided in briefing B-0029.

In summary, international and domestic evidence has shown that ‘boot camps’, in and of themselves, are one of the least effective interventions when it comes to reducing offending and antisocial behaviour among young people. The research shows that “boot camps for juvenile offenders that included counselling, and boot camps with a primary focus on rehabilitation, were significantly more effective than other types of boot camp…""

The briefing also notes that the Military-style Activity Camp (MAC) programme was delivered from 2010 to 2016. The programme aimed to target the most serious and persistent young offenders and was delivered as a partnership between Child, Youth and Family (CYF) and the New Zealand Defence Force (NZDF), based at Te Puna Wai o Tūhinapō Youth Justice Residence in Christchurch. It was found that the residential component of the MAC improved the attitude and motivation of young people to address their offending. Using teamwork and a mix of structured and routine activities, the NZDF staff helped break down barriers and promote the principles of equity, respect for authority, and self-discipline in the young people. Eighty percent of MAC participants successfully graduated the residential programme.",,,,,,
2025-5593,Minister for Regional Development,1,"Did the Regional Infrastructure Fund assess any environmental contamination risks at Ocean Beach, before providing a $2.2 million loan in November 2024?",I refer the member to my response to written question 5592 (2025).,"Kānoa – Regional Development & Commercial Services, administrators of the Regional Infrastructure Fund (RIF), identifies any risks when completing evaluation of projects. Investment proposals and recommendations for funding are then presented to the Regional Development Ministerial Group for decision making.

For more information on the governance of the RIF, please refer to the publicly available information on the Grow Regions website: www.growregions.govt.nz/new-funding/regional-infrastructure-fund/governance-of-the-rif.",,,,,,
2025-2014,Minister for the South Island,1,"How, if at all, does the Minister intend to meaningfully engage with South Island communities, iwi and councils to shape policies that benefit the South Island?","As Minister for the South Island, I intend to engage with a wide range of stakeholders across the South Island in a variety of ways in order to shape policies that will benefit the South Island. This will include travelling around the South Island to meet with stakeholders such as communities, iwi and councils directly. I will also engage in phone calls, videoconferencing calls, emails and letters with these stakeholders.",,,,,,,
2025-43421,Minister of Climate Change,2,"What discussions, if any, has he had with ACT Party MPs about the ACT Party’s petition to change or leave the Paris Agreement; and what actions, if any, resulted from this?",I refer the Member to reply number 43432 (2025),"As Minister of Climate Change, I am responsible for the government's actions on Climate Change. I am not responsible for the policy positions of political parties, including the ACT Party and have not had any communications with the David Seymour about those positions.",,,,,,
2024-61471,Minister of Immigration,2,"Has the Minister or her office requested advice on decoupling visas from specific employers, and if so, when?",I received advice regarding decoupling visas from specific employers on 16 July 2024.,,,,,,,
2024-72549,Minister of Climate Change,1,Does the Minister agree with the Climate Change Commission's findings in the Monitoring Report on emissions reduction that the agriculture and transport sectors pose the largest risks to future emissions budgets?,"I agree that when compared to the Commission's own demonstration path from 2022, its finding is sensible. That finding, however, was not based on the latest climate data and projections, nor informed by the policies this government is committed to progressing as a more cost-effective approach to reducing emissions. 

The Climate Change Response Act (CCRA) 2002 requires that an emissions reduction plans includes policies and strategies sufficient to meet the relevant emissions budget. The second emissions reduction plan will be published before the end of the year and will outline the Government's policies and strategies, including for the agricultural and transport sectors, to meet the second emissions budget. The plan is not required to also meet the third emissions budget. When released, the plan will detail how the Government will lay the foundation to achieve the third emissions budget.",,,,,,,
2025-52745,Associate Minister of Education,2,"Has the company or organization providing lunches to Te Aratai College under the Healthy School Lunches Programme changed in the last two years, and if so, on what date?",I am advised by the Ministry of Education that the school lunches for Te Aratai College are provided by Compass (School Lunch Collective) from Term 1 2025. Previously they were with Mammoth Group.,,,,,,,
2025-55212,Minister of Transport,2,"Has SH1 Otaki–Levin experienced any delays, cost overruns, or scope changes since its inclusion in the 20 July 2025 Beehive press release titled “Infrastructure projects to drive jobs and growth”, and if so, what are the reasons, as at 24 November 2025?",I refer the Member to my response to Written Parliamentary Question 50232 (2025).,No. There have been no changes to the approved budget and expected completion date since approval to progress to construction in June 2025.,,,,,,
2024-52515,Minister of Education,2,"Does the Minister stand by her statement that “there’s so much of it”, in relation to feedback received from principals and teachers about the Make It Count action plan; if so, how much exactly?","About eighty emails with feedback on the Make it Count action plan have been received by my office, in addition, I have seen hundreds of comments on social media and other forums in support.",,,,,,,
2024-4463,Associate Minister of Education,1,"What reports, briefings, memos, aides-memoire, notes or written advice, if any, has he received regarding fining and/or convicting parents if their children are not regularly attending school, listed by agency, title and date received?","The written advice I have received from the Ministry of Education regarding fining and/or convicting parents if their children are not regularly attending school is listed below by title and date received:

• 15 February 2024 – Education Report: Initial Advice on Attendance Action Plan

• 15 March 2024 – Education Report: Strengthening expectations for school attendance.

This answer does not cover members of my office who receive a large amount of material every week. Asking them to collate that material would require substantial collation and research and prevent them from undertaking their substantive roles.",,,,,,,
2024-4456,Minister of Transport,1,"How many more vehicle accidents, if any, have occurred on New Zealand roads during this year's Easter holiday weekend compared with that of the last ten years?",I refer the Member to Written Question reply 4454 (2024).,I refer the Member to the attached PDF.,,,,,,
2024-80981,Minister of Health,2,"What additional funding will be required for the action point 'Improve graduate transitions', as contained on page 15 of the 2024 Health Workforce Plan, if any, and if additional funding is required, where will it be sourced from?",I refer the Member to my response to Written Parliamentary Question 80961 (2024).,I am advised that all Health Workforce Plan initiatives will be funded out of Health New Zealand baselines.,,,,,,
2024-19922,Minister for Tertiary Education and Skills,1,Does the Minister stand by her statement that she expects all tertiary education institutions to spend public funds appropriately?,Yes.,,,,,,,
2025-10480,Minister of Education,1,"How much correspondence, if any, has she had about insolvency issues with school lunch provider Libelle?",I have had no correspondence with Libelle about insolvency issues.,,,,,,,
